visible,title,submitterid,date,imdbid,bechdel_rating,year,dubious,id,description,status,version
1,Grave of the Fireflies,11101,2014-10-23 17:59:51,0095327,0,1988,0,5867,,,
1,Once Upon a Time in the West,3115,2011-04-23 19:00:58,0064116,1,1968,0,2226,,,
1,Casablanca,1121,2010-07-04 14:24:27,0034583,1,1942,0,1076,,,
1,Cinema Paradiso,9048,2013-12-28 02:23:34,0095765,1,1988,0,4998,,,
1,Rear Window,2908,2011-03-21 09:57:12,0047396,3,1954,1,2132,,,
1,Alien,1,2008-07-19 00:00:00,0078748,3,1979,0,13,,,
1,Apocalypse Now,3116,2011-04-23 19:05:44,0078788,0,1979,0,2227,,,
1,Memento,1,2008-07-20 00:00:00,0209144,1,2000,0,52,,,
1,Raiders of the Lost Ark,1,2009-06-14 10:28:13,0082971,3,1981,,340,,,
1,"Great Dictator, The",5653,2012-08-13 07:55:07,0032553,3,1940,0,3470,,,
1,Django Unchained,6307,2012-12-31 15:46:31,1853728,1,2012,0,3792,,,
1,Das Leben Der Anderen,597,2010-05-12 00:05:38,0405094,0,2006,0,791,,,
1,Joker,17373,2019-10-08 00:22:08,7286456,3,2019,1,8863,,,
1,Paths of Glory,1376,2010-07-23 01:06:37,0050825,0,1957,0,1274,,,
1,WALL-E,1,2008-07-19 00:00:00,0910970,1,2008,0,3,,,
1,"Shining, The",862,2010-06-10 19:30:23,0081505,2,1980,0,930,,,
1,Avengers: Infinity War,16012,2018-04-28 14:05:24,4154756,3,2018,0,8178,,,
1,Sunset Blvd.,338,2009-12-28 04:08:44,0043014,1,1950,0,608,,,
1,Witness for the Prosecution,8951,2013-12-10 00:56:28,0051201,1,1957,0,4933,,,
1,Spider-Man : Into the Spider-Verse,16682,2018-12-14 21:07:25,4633694,1,2018,0,8523,,,
1,Mononoke-hime,21,2009-05-18 07:58:36,0119698,3,1997,,326,,,
1,Oldboy,7286,2013-05-30 17:29:52,0364569,1,2003,0,4183,,,
1,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1,2009-06-14 15:44:02,0057012,0,1964,,341,,,
1,"Dark Knight Rises, The",5547,2012-07-19 12:04:40,1345836,1,2012,0,3437,,,
1,Once Upon A Time In America,12180,2015-06-05 05:32:48,0087843,1,1984,0,6293,,,
1,Aliens,26,2009-02-17 08:15:07,0090605,3,1986,,283,,,
1,Avengers: Endgame,17090,2019-04-25 11:11:58,4154796,3,2019,0,8720,,,
1,Kimi no na wa.,14309,2016-12-15 06:28:15,5311514,3,2016,0,7328,,,
1,Coco,15462,2017-11-29 03:38:30,2380307,3,2017,0,7930,,,
1,American Beauty,1,2008-07-25 16:32:50,0169547,3,1999,,71,,,
1,Braveheart,17,2008-10-23 16:19:58,0112573,2,1995,,205,,,
1,3 Idiots,4789,2012-02-20 19:06:39,1187043,1,2009,0,3066,,,
1,Das Boot,2950,2011-03-27 02:59:06,0082096,0,1981,0,2143,,,
1,Toy Story,1,2008-07-28 15:55:31,0114709,1,1995,,87,,,
,,,,,,,,,Could not find movie,404,v1
1,Amadeus,401,2010-01-21 21:12:06,0086879,3,1984,0,613,,,
,,,,,,,,,Movie not yet approved,403,v1
,,,,,,,,,Could not find movie,404,v1
1,Star Wars: Episode VI - Return of the Jedi,422,2010-01-26 22:35:13,0086190,1,1983,0,671,,,
1,Inglourious Basterds,277,2009-12-07 23:20:07,0361748,3,2009,1,557,,,
1,Reservoir Dogs,1,2008-07-19 00:00:00,0105236,0,1992,0,18,,,
1,Good Will Hunting,354,2009-12-28 23:23:09,0119217,0,1997,0,623,,,
1,2001: A Space Odyssey,842,2010-06-08 09:14:13,0062622,0,1968,0,919,,,
1,Requiem for a Dream,2739,2011-02-15 17:34:07,0180093,3,2000,0,2050,,,
1,Vertigo,339,2009-12-28 04:09:49,0052357,1,1958,0,609,,,
1,M,340,2009-12-28 04:11:29,0022100,3,1931,0,610,,,
1,Dangal,14384,2017-01-04 21:50:40,5074352,3,2016,0,7374,,,
1,Eternal Sunshine of the Spotless Mind,1,2008-08-02 19:38:09,0338013,2,2004,,133,,,
1,Jagten,7021,2013-04-23 19:52:00,2106476,2,2012,0,4081,,,
1,Citizen Kane,1367,2010-07-23 00:55:07,0033467,1,1941,0,1266,,,
1,1917,17552,2020-01-13 19:28:36,8579674,0,2019,0,8962,,,
1,Full Metal Jacket,499,2010-04-04 11:54:35,0093058,0,1987,0,720,,,
1,Bicycle Thieves,12718,2015-10-26 15:39:47,0040522,2,1948,0,6517,,,
1,"Kid, The",6689,2013-03-01 08:25:02,0012349,0,1921,0,3945,,,
1,A Clockwork Orange,1081,2010-07-03 14:41:53,0066921,1,1971,0,1039,,,
1,Singin&#39; in the Rain,342,2009-12-28 04:13:45,0045152,3,1952,0,612,,,
1,North By Northwest,3117,2011-04-23 19:08:51,0053125,1,1959,0,2228,,,
1,Snatch.,1583,2010-08-01 13:04:01,0208092,0,2000,0,1414,,,
1,Scarface,9751,2014-03-25 03:28:14,0086250,1,1983,0,5321,,,
1,Taxi Driver,3112,2011-04-23 18:49:16,0075314,1,1976,0,2223,,,
1,Ikiru,14042,2016-09-29 13:54:48,0044741,1,1952,0,7162,,,
1,Lawrence of Arabia,1084,2010-07-03 14:58:49,0056172,0,1962,0,1042,,,
1,Amelie,1080,2010-07-03 14:40:23,0211915,3,2001,0,1038,,,
1,Toy Story 3,964,2010-06-18 23:09:00,0435761,3,2010,1,961,,,
1,"Sting, The",3333,2011-05-20 20:24:37,0070735,1,1973,0,2316,,,
1,Metropolis,1368,2010-07-23 00:56:19,0017136,1,1927,0,1267,,,
1,A Separation,3986,2011-09-01 21:31:52,1832382,3,2011,0,2649,,,
1,For a Few Dollars More,5498,2012-07-10 08:11:46,0059578,0,1965,0,3413,,,
1,Incendies,3064,2011-04-14 02:51:13,1255953,3,2010,0,2188,,,
1,"Apartment, The",2664,2011-02-05 22:30:48,0053604,3,1960,0,1995,,,
1,Come and See,11800,2015-03-26 19:19:48,0091251,0,1985,0,6165,,,
1,Double Indemnity,1585,2010-08-01 13:06:26,0036775,3,1944,0,1416,,,
1,To Kill a Mockingbird,1158,2010-07-07 18:20:21,0056592,3,1962,0,1108,,,
1,Up,1,2009-06-03 19:17:31,1049413,1,2009,,334,,,
1,Indiana Jones and the Last Crusade,1092,2010-07-04 03:11:38,0097576,0,1989,0,1049,,,
1,L.A. Confidential,3125,2011-04-23 20:21:53,0119488,1,1997,0,2236,,,
1,Heat,1079,2010-07-03 14:35:40,0113277,2,1995,0,1037,,,
1,Die Hard,402,2010-01-21 21:15:56,0095016,3,1988,0,619,,,
1,Monty Python and the Holy Grail,2344,2010-12-11 08:09:31,0071853,2,1975,1,1839,,,
1,Rashomon,1540,2010-07-28 20:54:44,0042876,0,1950,0,1402,,,
1,Batman Begins,1,2008-07-20 00:00:00,0372784,1,2005,0,40,,,
1,Yojimbo,408,2010-01-22 01:59:53,0055630,1,1961,0,660,,,
1,Green Book,16659,2018-12-05 16:44:46,6966692,1,2018,0,8512,,,
,,,,,,,,,Could not find movie,404,v1
1,Der Untergang (Downfall),2214,2010-11-10 23:50:55,0363163,3,2004,1,1748,,,
1,Unforgiven,13777,2016-07-29 08:43:19,0105695,3,1992,0,7006,,,
1,Ran,3404,2011-05-27 20:25:49,0089881,1,1985,0,2352,,,
1,Some Like It Hot,2705,2011-02-14 12:34:21,0053291,3,1959,0,2023,,,
1,Hauru no ugoku shiro (Howl's Moving Castle),21,2009-01-17 22:56:31,0347149,3,2004,,258,,,
1,A Beautiful Mind,12,2008-09-09 17:39:12,0268978,1,2001,,178,,,
,,,,,,,,,Could not find movie,404,v1
1,Casino,3109,2011-04-23 18:40:16,0112641,2,1995,1,2220,,,
1,"Great Escape, The",17,2008-10-23 15:45:51,0057115,0,1963,,202,,,
1,All About Eve,4,2008-08-03 07:10:33,0042192,3,1950,,139,,,
1,"Wolf of Wall Street, The",8927,2013-12-06 22:41:48,0993846,3,2013,0,4922,,,
1,El laberinto del fauno (Pan's Labyrinth),88,2009-08-07 01:10:39,0457430,3,2006,0,421,,,
1,"Secret in Their Eyes, The",1196,2010-07-10 04:04:37,1305806,1,2009,0,1140,,,
1,"Lock, Stock and Two Smoking Barrels",2074,2010-10-18 01:39:37,0120735,1,1998,0,1668,,,
1,Raging Bull,1614,2010-08-03 20:21:22,0081398,1,1980,0,1437,,,
1,Tonari no Totoro,21,2009-01-17 23:04:52,0096283,3,1988,,259,,,
1,There Will Be Blood,11,2008-09-05 15:21:38,0469494,0,2007,,177,,,
,,,,,,,,,Could not find movie,404,v1
1,"Treasure of the Sierra Madre, The",5154,2012-05-08 22:10:22,0040897,0,1948,0,3239,,,
1,"Three Billboards Outside Ebbing, Missouri",15538,2017-12-19 01:10:24,5027774,3,2017,0,7953,,,
1,Dial M for Murder,5334,2012-06-10 23:57:01,0046912,0,1954,0,3337,,,
,,,,,,,,,Could not find movie,404,v1
1,Chinatown,3126,2011-04-23 20:26:03,0071315,2,1974,0,2237,,,
1,"Gold Rush, The",1423,2010-07-25 08:47:28,0015864,0,1925,0,1309,,,
1,Shutter Island,495,2010-04-04 10:59:23,1130884,1,2010,0,716,,,
1,No Country for Old Men,443,2010-02-18 09:40:48,0477348,3,2007,1,686,,,
1,V for Vendetta,1,2008-07-28 18:57:16,0434409,3,2005,,89,,,
1,"Seventh Seal, The",2729,2011-02-15 14:15:32,0050976,1,1957,0,2043,,,
1,Inside Out,12092,2015-05-20 04:14:38,2096673,3,2015,0,6255,,,
1,Warrior,4742,2012-02-12 08:05:54,1291584,1,2011,0,3043,,,
,,,,,,,,,Could not find movie,404,v1
1,"Thing, The",2391,2010-12-20 00:31:05,0084787,0,1982,0,1861,,,
1,Trainspotting,1,2008-08-03 00:20:15,0117951,2,1996,,137,,,
1,"Sixth Sense, The",527,2010-04-18 15:21:06,0167404,3,1999,1,742,,,
1,Jurassic Park,1,2008-07-31 00:27:47,0107290,3,1993,,109,,,
1,Gone with the Wind,28,2009-03-02 14:31:54,0031381,3,1939,,291,,,
1,"Truman Show, The",1,2008-08-11 15:57:10,0120382,1,1998,,165,,,
1,Smultronst&auml;llet (Wild Strawberries),3744,2011-07-12 13:02:57,0050986,2,1957,0,2520,,,
1,Finding Nemo,579,2010-05-03 14:24:45,0266543,1,2003,0,778,,,
1,Blade Runner,21,2008-12-10 19:40:42,0083658,1,1982,,234,,,
1,Stalker,6066,2012-11-12 14:02:26,0079944,1,1979,0,3667,,,
1,Kill Bill: Vol. 1,201,2009-09-17 22:10:08,0266697,3,2003,0,508,,,
1,Room,12859,2015-12-07 02:30:53,3170832,3,2015,0,6584,,,
1,"Bridge on the River Kwai, The",4616,2012-01-11 03:32:06,0050212,1,1957,0,2981,,,
1,Fargo,2371,2010-12-14 23:36:58,0116282,2,1996,0,1852,,,
1,Memories of Murder,13925,2016-09-05 04:55:36,0353969,3,2003,1,7093,,,
1,Tokyo Story,2002,2010-10-04 04:48:49,0046438,3,1953,0,1630,,,
1,"Third Man, The",341,2009-12-28 04:12:48,0041959,0,1949,0,611,,,
1,Gran Torino,193,2009-09-11 22:21:17,1205489,2,2008,0,502,,,
1,On the Waterfront,2308,2010-12-01 23:04:29,0047296,0,1954,0,1812,,,
1,Relatos salvajes,12097,2015-05-20 10:17:18,3011894,3,2014,1,6256,,,
1,"Deer Hunter, The",4015,2011-09-08 17:31:52,0077416,1,1978,0,2668,,,
1,Klaus,17446,2019-11-22 22:00:00,4729430,1,2019,0,8901,,,
1,In the Name of the Father,14671,2017-03-14 13:38:56,0107207,2,1993,0,7514,,,
1,Mary and Max,4016,2011-09-08 21:49:30,0978762,1,2009,0,2669,,,
1,Andhadhun,17110,2019-05-01 12:48:07,8108198,2,2018,1,8730,,,
1,Gone Girl,10961,2014-10-04 05:48:26,2267998,3,2014,0,5801,,,
1,Hacksaw Ridge,14239,2016-11-22 03:30:10,2119532,1,2016,0,7281,,,
1,"Grand Budapest Hotel, The",9577,2014-03-04 11:40:01,2278388,1,2014,0,5229,,,
1,Before Sunrise,6870,2013-03-27 13:43:45,0112471,0,1995,0,4020,,,
1,Catch Me If You Can,348,2009-12-28 23:15:02,0264464,2,2002,0,617,,,
1,"Big Lebowski, The",196,2009-09-11 23:44:54,0118715,1,1998,0,505,,,
1,Persona,319,2009-12-27 21:51:35,0060827,3,1966,0,589,,,
,,,,,,,,,Could not find movie,404,v1
1,To Be or Not to Be,9716,2014-03-19 21:55:23,0035446,0,1942,0,5303,,,
1,Prisoners,8374,2013-09-28 18:09:35,1392214,3,2013,0,4641,,,
1,Sherlock Jr.,2688,2011-02-09 03:32:15,0015324,0,1924,0,2011,,,
1,Ford v Ferrari,17384,2019-10-12 10:48:31,1950186,0,2019,0,8869,,,
1,"General, The",1424,2010-07-25 08:49:07,0017925,0,1926,0,1310,,,
1,How to Train Your Dragon,490,2010-03-31 19:53:01,0892769,3,2010,0,711,,,
1,Mr. Smith Goes to Washington,11266,2014-11-25 12:59:18,0031679,2,1939,0,5946,,,
1,12 Years a Slave,9099,2014-01-03 02:49:11,2024544,3,2013,0,5033,,,
1,Barry Lyndon,3334,2011-05-20 20:36:53,0072684,1,1975,0,2317,,,
1,Mad Max: Fury Road,11993,2015-05-15 17:36:08,1392190,3,2015,0,6242,,,
1,Million Dollar Baby,1205,2010-07-10 06:31:16,0405159,3,2004,0,1148,,,
1,Stand By Me,808,2010-06-04 23:50:34,0092005,0,1986,0,898,,,
1,Network,1539,2010-07-28 20:52:49,0074958,3,1976,0,1401,,,
1,Cool Hand Luke,17,2009-03-24 15:12:42,0061512,1,1967,,301,,,
1,Dead Poets Society,3417,2011-05-29 21:25:15,0097165,1,1989,0,2361,,,
1,Hachi: A Dog&#39;s Tale,16714,2018-12-14 23:54:15,1028532,1,2009,0,8555,,,
1,Ben-Hur,1588,2010-08-01 13:10:23,0052618,3,1959,0,1419,,,
1,Harry Potter and the Deathly Hallows: Part 2,3773,2011-07-14 20:35:38,1201607,3,2011,1,2539,,,
1,Into the Wild,21,2009-04-19 22:36:56,0758758,1,2007,,313,,,
1,Platoon,5838,2012-09-28 17:45:27,0091763,0,1986,0,3558,,,
1,Logan,14602,2017-03-03 04:46:13,3315342,3,2017,1,7479,,,
1,Life of Brian,593,2010-05-10 17:32:53,0079470,3,1979,0,787,,,
1,Le Salaire de la Peur,1631,2010-08-07 00:38:58,0046268,1,1953,0,1444,,,
1,Rush,9184,2014-01-11 15:09:23,1979320,1,2013,0,5061,,,
1,"Handmaiden (Ah-ga-ssi) , The",14148,2016-10-29 21:47:07,4016934,3,2016,0,7228,,,
1,"Passion of Joan of Arc, The",1428,2010-07-25 08:56:17,0019254,0,1928,0,1314,,,
1,"400 Blows, The",19,2008-12-11 08:38:55,0053198,0,1959,,236,,,
1,Andrei Rublev,6155,2012-12-03 11:47:58,0060107,1,1966,0,3706,,,
,,,,,,,,,Could not find movie,404,v1
1,Spotlight,13169,2016-02-02 10:43:36,1895587,1,2015,0,6707,,,
1,Rififi,5480,2012-07-08 01:30:16,0048021,1,1955,0,3404,,,
1,Amores Perros,10938,2014-09-30 07:51:13,0245712,1,2000,0,5792,,,
1,La Haine,6537,2013-02-06 22:12:15,0113247,0,1995,0,3877,,,
1,Kaze no tani no Naushika,297,2009-12-18 06:56:37,0087544,3,1984,0,570,,,
,,,,,,,,,Could not find movie,404,v1
1,Rocky,3182,2011-05-03 19:31:33,0075148,1,1976,0,2267,,,
1,Rang De Basanti,6262,2012-12-24 08:42:47,0405508,3,2006,0,3769,,,
1,"Monsters, Inc.",1,2008-08-07 23:34:17,0198781,1,2001,,148,,,
1,Rebecca,349,2009-12-28 23:16:34,0032976,3,1940,0,618,,,
1,Before Sunset,9329,2014-01-29 21:55:42,0381681,0,2004,0,5117,,,
1,Portrait of a Lady on Fire,17414,2019-11-05 13:05:07,8613070,3,2019,0,8882,,,
1,Fa yeung nin wa (In the Mood for Love),5147,2012-05-08 04:43:39,0118694,3,2000,0,3233,,,
1,"Paris, Texas",639,2010-05-18 09:34:23,0087884,1,1984,0,813,,,
1,It Happened One Night,352,2009-12-28 23:20:38,0025316,3,1934,0,621,,,
,,,,,,,,,Could not find movie,404,v1
1,Contratiempo,14489,2017-02-05 12:10:54,4857264,1,2016,0,7430,,,
1,"Help, The",3200,2011-05-05 13:28:11,1454029,3,2011,0,2276,,,
1,"Princess Bride, The",32,2009-05-11 19:26:03,0093779,2,1987,,322,,,
1,"Circus, The",2632,2011-02-04 03:44:30,0018773,0,1928,0,1968,,,
1,La battaglia di Algeri,406,2010-01-22 01:40:20,0058946,1,1966,0,658,,,
1,"Terminator, The",1587,2010-08-01 13:08:15,0088247,3,1984,0,1418,,,
1,Tangerines,14709,2017-03-26 18:04:55,2991224,0,2013,0,7533,,,
1,Aladdin,1,2008-07-30 00:36:20,0103639,0,1992,,98,,,
1,Koe no katachi,16274,2018-06-29 18:39:02,5323662,1,2016,0,8312,,,
,,,,,,,,,Could not find movie,404,v1
